Date,Days,Location,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct
12/15/20,3,VA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,KY,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,HI,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,ND,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,WV,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,CT,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,NH,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,VA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
